salesdate,productid,region,freeship,discount,itemssold,update_time
9/11/2024,108,e,1,0.385,154,9/12/2024
9/11/2024,77,c,1,8.745,215,9/12/2024
9/11/2024,173,d,0,5.98,14,9/12/2024
9/11/2024,152,d,0,9.077,155,9/12/2024
9/11/2024,154,b,0,1.464,177,9/12/2024
9/11/2024,30,a,0,1.768,79,9/12/2024
9/11/2024,132,c,0,9.133,203,9/12/2024
9/11/2024,169,b,0,6.016,131,9/12/2024
9/11/2024,134,c,1,2.405,11,9/12/2024
9/11/2024,239,b,0,8.452,104,9/12/2024
9/11/2024,73,d,1,5.975,150,9/12/2024
9/11/2024,92,c,1,7.131,140,9/12/2024
9/11/2024,148,b,1,6.626,160,9/12/2024
9/11/2024,247,e,1,8.404,46,9/12/2024
9/11/2024,120,d,0,2.451,122,9/12/2024
9/11/2024,220,a,0,0.867,116,9/12/2024
9/11/2024,197,a,1,9.186,211,9/12/2024
9/11/2024,231,d,1,5.499,161,9/12/2024
9/11/2024,140,b,0,3.837,122,9/12/2024
9/11/2024,212,e,1,1.508,74,9/12/2024
9/11/2024,51,a,0,7.462,122,9/12/2024
9/11/2024,207,a,0,1.643,97,9/12/2024
9/11/2024,207,c,0,1.878,101,9/12/2024
9/11/2024,275,d,0,9.27,139,9/12/2024
9/11/2024,150,c,1,8.953,73,9/12/2024
9/11/2024,119,e,1,9.316,186,9/12/2024
9/11/2024,233,b,0,7.993,168,9/12/2024
9/11/2024,284,d,0,8.921,212,9/12/2024
9/11/2024,297,d,1,0.151,158,9/12/2024
9/11/2024,265,e,0,3.177,39,9/12/2024
9/11/2024,48,a,1,0.741,48,9/12/2024
9/11/2024,29,b,1,4.916,81,9/12/2024
9/11/2024,77,d,1,5.92,163,9/12/2024
9/11/2024,263,e,0,4.716,69,9/12/2024
9/11/2024,176,d,0,2.476,129,9/12/2024
9/11/2024,146,c,0,4.203,205,9/12/2024
9/11/2024,200,b,1,4.81,184,9/12/2024
9/11/2024,188,e,1,4.083,102,9/12/2024
9/11/2024,38,a,0,8.558,74,9/12/2024
9/11/2024,261,a,1,3.847,149,9/12/2024
9/11/2024,155,a,0,8.904,193,9/12/2024
9/11/2024,293,e,1,2.532,127,9/12/2024
9/11/2024,105,e,0,2.418,37,9/12/2024
9/11/2024,104,b,1,4.767,22,9/12/2024
9/11/2024,127,e,1,9.025,73,9/12/2024
9/11/2024,144,b,1,6.831,56,9/12/2024
9/11/2024,267,d,0,1.121,137,9/12/2024
9/11/2024,69,c,0,0.19,42,9/12/2024
9/11/2024,98,b,1,8.929,12,9/12/2024
9/11/2024,87,e,0,0.283,205,9/12/2024
9/11/2024,96,e,1,2.423,24,9/12/2024
9/11/2024,148,e,1,6.048,186,9/12/2024
9/11/2024,107,e,1,6.914,122,9/12/2024
9/11/2024,109,c,1,6.899,1,9/12/2024
9/11/2024,27,a,0,8.683,54,9/12/2024
9/11/2024,264,d,1,6.256,37,9/12/2024
9/11/2024,119,a,1,4.197,145,9/12/2024
9/11/2024,150,d,1,5.342,136,9/12/2024
9/11/2024,280,c,0,9.575,7,9/12/2024
9/11/2024,138,a,0,6.792,197,9/12/2024
9/11/2024,46,c,1,2.07,21,9/12/2024
9/11/2024,262,a,1,9.805,43,9/12/2024
9/11/2024,281,c,0,0.323,214,9/12/2024
9/11/2024,179,c,1,3.677,102,9/12/2024
9/11/2024,75,c,0,0.188,96,9/12/2024
9/11/2024,96,a,1,2.025,15,9/12/2024
9/11/2024,45,e,0,7.946,104,9/12/2024
9/11/2024,87,c,1,1.077,93,9/12/2024
9/11/2024,107,b,1,0.567,25,9/12/2024
9/11/2024,190,e,1,4.316,209,9/12/2024
9/11/2024,298,e,0,6.775,188,9/12/2024
9/11/2024,23,e,1,1.274,199,9/12/2024
9/11/2024,171,e,1,8.62,12,9/12/2024
9/11/2024,185,b,1,4.962,174,9/12/2024
9/11/2024,40,e,0,7.268,100,9/12/2024
9/11/2024,132,c,1,1.282,136,9/12/2024
9/11/2024,276,b,1,5.292,34,9/12/2024
9/11/2024,231,e,0,9.982,84,9/12/2024
9/11/2024,259,d,0,9.387,109,9/12/2024
9/11/2024,268,d,0,1.043,102,9/12/2024
9/11/2024,137,c,1,4.347,189,9/12/2024
9/11/2024,76,c,1,5.028,194,9/12/2024
9/11/2024,72,e,1,5.935,84,9/12/2024
9/11/2024,139,a,0,5.871,213,9/12/2024
9/11/2024,114,a,1,8.812,79,9/12/2024
9/11/2024,146,e,1,7.843,163,9/12/2024
9/11/2024,197,b,1,4.711,52,9/12/2024
9/11/2024,37,b,1,0.986,30,9/12/2024
9/11/2024,235,c,1,4.592,187,9/12/2024
9/11/2024,72,d,0,0.358,79,9/12/2024
9/11/2024,177,b,0,3.872,116,9/12/2024
9/11/2024,168,a,1,3.417,25,9/12/2024
9/11/2024,257,a,1,6.562,11,9/12/2024
9/11/2024,83,c,1,6.31,64,9/12/2024
9/11/2024,261,c,0,8.234,88,9/12/2024
9/11/2024,169,b,1,1.963,131,9/12/2024
9/11/2024,45,c,0,8.918,72,9/12/2024
9/11/2024,31,d,0,4.943,121,9/12/2024
9/11/2024,261,a,0,0.8,8,9/12/2024
9/11/2024,94,a,1,4.877,9,9/12/2024
9/11/2024,36,c,1,7.038,207,9/12/2024
9/11/2024,189,b,0,1.977,186,9/12/2024
9/11/2024,226,a,0,4.842,119,9/12/2024
9/11/2024,114,e,0,2.226,121,9/12/2024
9/11/2024,106,c,1,3.878,93,9/12/2024
9/11/2024,220,b,1,0.755,135,9/12/2024
9/11/2024,199,b,1,5.157,215,9/12/2024
9/11/2024,222,c,0,2.282,80,9/12/2024
9/11/2024,276,c,1,5.12,1,9/12/2024
9/11/2024,43,d,0,9.667,97,9/12/2024
9/11/2024,204,e,1,7.718,161,9/12/2024
9/11/2024,122,d,0,7.104,130,9/12/2024
9/11/2024,225,e,0,8.272,197,9/12/2024
9/11/2024,242,b,0,9.403,140,9/12/2024
9/11/2024,241,d,1,2.512,136,9/12/2024
9/11/2024,40,b,1,0.902,102,9/12/2024
9/11/2024,135,c,1,9.013,155,9/12/2024
9/11/2024,235,c,1,3.501,173,9/12/2024
9/11/2024,233,e,0,2.191,37,9/12/2024
9/11/2024,98,e,1,0.696,156,9/12/2024
9/11/2024,95,a,0,7.212,116,9/12/2024
9/11/2024,67,e,0,4.686,79,9/12/2024
9/11/2024,40,b,0,8.824,164,9/12/2024
9/11/2024,291,c,1,7.263,144,9/12/2024
9/11/2024,122,e,0,0.276,74,9/12/2024
9/11/2024,22,b,1,8.923,124,9/12/2024
9/11/2024,74,c,1,1.11,36,9/12/2024
9/11/2024,245,b,1,9.52,38,9/12/2024
9/11/2024,167,a,1,2.063,47,9/12/2024
9/11/2024,156,c,0,7.196,69,9/12/2024
9/11/2024,100,a,1,6.839,6,9/12/2024
9/11/2024,219,a,1,7.513,62,9/12/2024
9/11/2024,288,b,0,1.161,100,9/12/2024
9/11/2024,23,c,0,4.272,99,9/12/2024
9/11/2024,274,c,1,4.894,122,9/12/2024
9/11/2024,243,e,0,3.116,12,9/12/2024
9/11/2024,176,d,1,2.803,172,9/12/2024
9/11/2024,189,a,1,1.991,95,9/12/2024
9/11/2024,269,b,0,1.609,192,9/12/2024
9/11/2024,84,c,1,2.744,28,9/12/2024
9/11/2024,281,c,0,7.474,144,9/12/2024
9/11/2024,196,a,0,9.455,137,9/12/2024
9/11/2024,256,b,1,8.148,38,9/12/2024
9/11/2024,47,e,0,4.899,155,9/12/2024
9/11/2024,92,a,1,8.888,206,9/12/2024
9/11/2024,89,c,0,2.453,66,9/12/2024
9/11/2024,119,a,1,9.158,12,9/12/2024
9/11/2024,252,a,1,1.815,194,9/12/2024
9/11/2024,145,e,0,7.174,21,9/12/2024
9/11/2024,94,e,1,0.347,154,9/12/2024
9/11/2024,278,b,0,1.654,45,9/12/2024
9/11/2024,75,e,0,8.463,13,9/12/2024
9/11/2024,147,d,0,8.282,65,9/12/2024
9/11/2024,213,c,1,5.469,70,9/12/2024
9/11/2024,216,b,1,2.207,63,9/12/2024
9/11/2024,41,b,1,9.261,119,9/12/2024
9/11/2024,53,b,1,5.246,80,9/12/2024
9/11/2024,190,d,1,5.489,54,9/12/2024
9/11/2024,113,b,1,8.968,10,9/12/2024
9/11/2024,127,c,0,9.955,221,9/12/2024
9/11/2024,232,b,1,8.195,208,9/12/2024
9/11/2024,187,e,0,4.472,173,9/12/2024
9/11/2024,269,d,0,5.448,109,9/12/2024
9/11/2024,270,b,1,2.64,221,9/12/2024
9/11/2024,262,d,1,0.091,138,9/12/2024
9/11/2024,293,c,0,7.349,43,9/12/2024
9/11/2024,135,d,1,5.394,16,9/12/2024
9/11/2024,122,c,0,0.699,80,9/12/2024
9/11/2024,40,d,0,5.926,165,9/12/2024
9/11/2024,79,b,1,3.204,23,9/12/2024
9/11/2024,289,c,1,7.832,106,9/12/2024
9/11/2024,174,b,0,8.707,144,9/12/2024
9/11/2024,195,e,0,9.788,123,9/12/2024
9/11/2024,37,a,0,1.446,59,9/12/2024
9/11/2024,154,c,0,5.167,51,9/12/2024
9/11/2024,70,b,0,0.679,90,9/12/2024
9/11/2024,155,b,1,7.556,19,9/12/2024
9/11/2024,171,e,0,1.835,54,9/12/2024
9/11/2024,113,a,1,0.367,141,9/12/2024
9/11/2024,234,b,1,9.917,88,9/12/2024
9/11/2024,159,c,0,0.515,171,9/12/2024
9/11/2024,274,b,1,9.874,27,9/12/2024
9/11/2024,92,b,1,3.064,72,9/12/2024
9/12/2024,232,a,1,8.328,111,9/13/2024
9/12/2024,73,e,1,3.286,9,9/13/2024
9/12/2024,159,b,1,4.657,94,9/13/2024
9/12/2024,294,d,1,4.796,103,9/13/2024
9/12/2024,294,a,1,1.013,148,9/13/2024
9/12/2024,290,a,1,1.775,128,9/13/2024
9/12/2024,130,d,1,4.536,132,9/13/2024
9/12/2024,28,b,1,0.123,56,9/13/2024
9/12/2024,24,a,0,5.55,74,9/13/2024
9/12/2024,258,d,0,5.103,5,9/13/2024
9/12/2024,87,b,1,3.665,100,9/13/2024
9/12/2024,142,d,1,2.749,175,9/13/2024
9/12/2024,213,b,0,0.236,175,9/13/2024
9/12/2024,266,b,1,4.022,29,9/13/2024
9/12/2024,112,e,0,9.18,219,9/13/2024
9/12/2024,114,a,1,3.756,152,9/13/2024
9/12/2024,35,d,1,0.854,85,9/13/2024
9/12/2024,280,e,1,0.881,54,9/13/2024
9/12/2024,104,c,0,7.679,158,9/13/2024
9/12/2024,49,d,0,1.971,7,9/13/2024
9/12/2024,254,a,0,5.565,106,9/13/2024
9/12/2024,62,d,0,0.699,92,9/13/2024
9/12/2024,79,d,0,5.236,147,9/13/2024
9/12/2024,61,c,1,8.666,183,9/13/2024
9/12/2024,219,c,1,8.244,23,9/13/2024
9/12/2024,106,a,0,8.241,187,9/13/2024
9/12/2024,217,b,1,8.014,20,9/13/2024
9/12/2024,272,e,0,1.982,133,9/13/2024
9/12/2024,144,c,0,4.043,162,9/13/2024
9/12/2024,54,c,1,6.91,95,9/13/2024
9/12/2024,91,e,0,2.235,38,9/13/2024
9/12/2024,283,d,1,6.833,63,9/13/2024
9/12/2024,71,d,0,2.67,63,9/13/2024
9/12/2024,90,c,0,8.777,126,9/13/2024
9/12/2024,86,b,0,4.948,176,9/13/2024
9/12/2024,219,c,1,4.778,216,9/13/2024
9/12/2024,150,e,1,2.294,12,9/13/2024
9/12/2024,28,e,1,8.407,174,9/13/2024
9/12/2024,114,a,0,5.756,169,9/13/2024
9/12/2024,209,a,0,8.287,179,9/13/2024
9/12/2024,43,a,1,4.885,34,9/13/2024
9/12/2024,142,e,0,5.739,144,9/13/2024
9/12/2024,290,a,0,7.708,42,9/13/2024
9/12/2024,171,b,0,5.722,36,9/13/2024
9/12/2024,33,c,0,5.462,162,9/13/2024
9/12/2024,100,d,1,8.68,93,9/13/2024
9/12/2024,295,e,1,1.466,138,9/13/2024
9/12/2024,137,e,0,3.883,143,9/13/2024
9/12/2024,138,c,1,3.691,27,9/13/2024
9/12/2024,49,b,0,9.676,102,9/13/2024
9/12/2024,228,c,1,5.296,12,9/13/2024
9/12/2024,213,d,1,2.211,61,9/13/2024
9/12/2024,176,b,0,0.677,92,9/13/2024
9/12/2024,151,d,1,7.077,40,9/13/2024
9/12/2024,66,b,1,4.464,86,9/13/2024
9/12/2024,275,e,1,2.732,79,9/13/2024
9/12/2024,170,e,1,6.76,93,9/13/2024
9/12/2024,149,b,1,0.517,215,9/13/2024
9/12/2024,154,c,1,8.671,151,9/13/2024
9/12/2024,89,b,1,2.837,186,9/13/2024
9/12/2024,202,a,0,1.571,21,9/13/2024
9/12/2024,280,d,1,1.672,213,9/13/2024
9/12/2024,136,b,0,6.437,201,9/13/2024
9/12/2024,272,e,0,1.583,20,9/13/2024
9/12/2024,277,a,1,1.012,217,9/13/2024
9/12/2024,135,a,1,4.832,90,9/13/2024
9/12/2024,36,e,0,4.285,214,9/13/2024
9/12/2024,176,e,1,6.572,207,9/13/2024
9/12/2024,63,c,0,7.738,61,9/13/2024
9/12/2024,221,c,1,6.154,37,9/13/2024
9/12/2024,116,b,1,5.099,68,9/13/2024
9/12/2024,171,a,0,4.952,6,9/13/2024
9/12/2024,114,e,0,9.47,158,9/13/2024
9/12/2024,267,c,0,8.046,158,9/13/2024
9/12/2024,167,b,1,4.46,173,9/13/2024
9/12/2024,127,c,1,7.361,149,9/13/2024
9/12/2024,272,b,1,6.238,157,9/13/2024
9/12/2024,282,d,0,5.422,139,9/13/2024
9/12/2024,60,c,1,1.241,154,9/13/2024
9/12/2024,284,b,0,3.979,124,9/13/2024
9/12/2024,68,a,0,2.575,146,9/13/2024
9/12/2024,142,c,1,7.661,55,9/13/2024
9/12/2024,37,e,1,5.248,193,9/13/2024
9/12/2024,59,a,0,7.578,8,9/13/2024
9/12/2024,209,e,0,5.686,118,9/13/2024
9/12/2024,240,d,1,8.269,174,9/13/2024
9/12/2024,290,a,1,1.618,25,9/13/2024
9/12/2024,31,e,0,0.74,220,9/13/2024
9/12/2024,90,e,0,6.991,45,9/13/2024
9/12/2024,91,b,0,7.594,120,9/13/2024
9/12/2024,161,d,1,3.813,107,9/13/2024
9/12/2024,296,c,1,0.626,37,9/13/2024
9/12/2024,235,d,0,7.082,77,9/13/2024
9/12/2024,243,c,1,9.528,179,9/13/2024
9/12/2024,283,d,0,3.914,180,9/13/2024
9/12/2024,256,e,1,1.777,172,9/13/2024
9/12/2024,52,e,1,5.568,202,9/13/2024
9/12/2024,267,d,0,5.409,112,9/13/2024
9/12/2024,287,b,1,2.724,203,9/13/2024
9/12/2024,125,d,1,9.224,170,9/13/2024
9/12/2024,133,d,0,1.23,60,9/13/2024
9/12/2024,225,b,0,2.054,184,9/13/2024
9/12/2024,101,e,1,1.203,60,9/13/2024
9/12/2024,174,c,0,1.059,147,9/13/2024
9/12/2024,141,a,1,8.833,175,9/13/2024
9/12/2024,187,c,1,8.221,26,9/13/2024
9/12/2024,287,b,0,2.751,127,9/13/2024
9/12/2024,54,b,0,1.755,132,9/13/2024
9/12/2024,206,a,1,5.439,94,9/13/2024
9/12/2024,140,a,1,0.749,63,9/13/2024
9/12/2024,112,e,1,5.932,69,9/13/2024
9/12/2024,251,b,0,6.025,203,9/13/2024
9/12/2024,241,c,0,5.067,10,9/13/2024
9/12/2024,80,c,1,0.279,67,9/13/2024
9/12/2024,223,b,1,6.636,151,9/13/2024
9/12/2024,280,d,1,1.646,46,9/13/2024
9/12/2024,40,c,0,0.679,84,9/13/2024
9/12/2024,48,c,1,0.995,193,9/13/2024
9/12/2024,290,d,1,9.843,57,9/13/2024
9/12/2024,249,a,1,7.673,28,9/13/2024
9/12/2024,43,c,1,0.555,49,9/13/2024
9/12/2024,210,e,0,7.407,134,9/13/2024
9/12/2024,282,b,1,3.386,167,9/13/2024
9/12/2024,140,a,1,8.838,61,9/13/2024
9/12/2024,230,b,1,2.121,39,9/13/2024
9/12/2024,80,b,1,0.293,147,9/13/2024
9/12/2024,123,a,0,8.073,156,9/13/2024
9/12/2024,63,a,1,4.105,196,9/13/2024
9/12/2024,269,c,1,3.667,77,9/13/2024
9/12/2024,257,c,0,6.872,137,9/13/2024
9/12/2024,242,e,1,4.909,2,9/13/2024
9/12/2024,74,e,1,9.898,19,9/13/2024
9/12/2024,234,a,1,4.369,152,9/13/2024
9/12/2024,257,a,0,2.449,148,9/13/2024
9/12/2024,280,c,1,6.618,49,9/13/2024
9/12/2024,193,b,0,8.117,17,9/13/2024
9/12/2024,86,b,1,4.867,124,9/13/2024
9/12/2024,177,d,1,8.927,107,9/13/2024
9/12/2024,254,c,1,7.492,66,9/13/2024
9/12/2024,92,a,1,2.243,140,9/13/2024
9/12/2024,244,c,1,5.702,142,9/13/2024
9/12/2024,131,a,1,6.832,137,9/13/2024
9/12/2024,112,e,0,4.808,138,9/13/2024
9/12/2024,210,d,0,8.757,164,9/13/2024
9/12/2024,196,b,0,5.544,175,9/13/2024
9/12/2024,36,d,1,9.129,196,9/13/2024
9/12/2024,109,a,0,2.648,59,9/13/2024
9/12/2024,273,c,1,8.724,188,9/13/2024
9/12/2024,248,d,1,8.264,179,9/13/2024
9/12/2024,195,e,1,1.523,82,9/13/2024
9/12/2024,59,d,0,6.595,113,9/13/2024
9/12/2024,81,a,0,1.548,41,9/13/2024
9/12/2024,241,d,1,9.32,66,9/13/2024
9/12/2024,134,e,1,5.537,14,9/13/2024
9/12/2024,195,c,0,6.191,142,9/13/2024
9/12/2024,60,d,1,7.18,87,9/13/2024
9/12/2024,260,d,1,7.762,100,9/13/2024
9/12/2024,182,a,0,7.35,3,9/13/2024
9/12/2024,248,a,1,6.357,44,9/13/2024
9/12/2024,252,c,0,5.249,193,9/13/2024
9/12/2024,49,a,1,6.779,189,9/13/2024
9/12/2024,36,d,0,8.696,179,9/13/2024
9/12/2024,43,a,1,8.113,96,9/13/2024
9/12/2024,165,e,0,3.746,8,9/13/2024
9/12/2024,78,a,0,7.256,114,9/13/2024
9/12/2024,167,e,1,0.054,131,9/13/2024
9/12/2024,166,e,0,2.056,54,9/13/2024
9/12/2024,49,c,1,4.252,109,9/13/2024
9/12/2024,147,b,0,3.54,87,9/13/2024
9/12/2024,24,e,0,8.932,140,9/13/2024
9/12/2024,133,a,1,0.851,37,9/13/2024
9/12/2024,139,d,1,7.86,174,9/13/2024
9/12/2024,147,a,0,3.615,89,9/13/2024
9/12/2024,56,e,1,1.514,26,9/13/2024
9/12/2024,259,c,0,5.894,1,9/13/2024
9/12/2024,134,b,0,2.464,184,9/13/2024
9/12/2024,64,d,0,3.226,4,9/13/2024
9/12/2024,269,a,0,5.057,210,9/13/2024
9/12/2024,146,a,0,7.921,212,9/13/2024
9/12/2024,298,c,0,5.07,186,9/13/2024
9/12/2024,67,a,0,1.272,108,9/13/2024
9/12/2024,28,d,0,1.055,184,9/13/2024
9/12/2024,63,b,0,4.251,195,9/13/2024
9/12/2024,72,b,1,0.402,142,9/13/2024
9/13/2024,101,c,1,3.494,200,9/14/2024
9/13/2024,294,a,0,9.331,126,9/14/2024
9/13/2024,242,c,1,2.429,148,9/14/2024
9/13/2024,123,b,0,0.995,97,9/14/2024
9/13/2024,93,a,0,7.857,18,9/14/2024
9/13/2024,139,a,0,0.923,159,9/14/2024
9/13/2024,22,b,0,5.412,34,9/14/2024
9/13/2024,217,e,1,8.591,149,9/14/2024
9/13/2024,203,b,0,6.56,67,9/14/2024
9/13/2024,131,d,0,2.996,167,9/14/2024
9/13/2024,169,e,1,2.588,129,9/14/2024
9/13/2024,121,c,0,0.377,200,9/14/2024
9/13/2024,115,c,0,9.91,62,9/14/2024
9/13/2024,298,c,0,1.231,103,9/14/2024
9/13/2024,118,b,0,9.136,190,9/14/2024
9/13/2024,130,a,1,6.972,126,9/14/2024
9/13/2024,83,e,1,2.532,77,9/14/2024
9/13/2024,62,b,1,9.641,128,9/14/2024
9/13/2024,105,b,0,8.811,16,9/14/2024
9/13/2024,129,b,0,8.435,185,9/14/2024
9/13/2024,243,e,0,5.694,133,9/14/2024
9/13/2024,146,a,1,5.382,209,9/14/2024
9/13/2024,73,a,0,8.669,171,9/14/2024
9/13/2024,298,c,0,1.74,94,9/14/2024
9/13/2024,166,e,1,9.589,213,9/14/2024
9/13/2024,169,c,0,0.589,198,9/14/2024
9/13/2024,298,d,1,8.791,114,9/14/2024
9/13/2024,179,b,1,6.383,168,9/14/2024
9/13/2024,129,e,0,4.833,100,9/14/2024
9/13/2024,247,a,0,4.753,192,9/14/2024
9/13/2024,192,c,1,2.209,11,9/14/2024
9/13/2024,238,d,1,3.058,200,9/14/2024
9/13/2024,35,b,1,6.157,188,9/14/2024
9/13/2024,266,a,0,9.985,197,9/14/2024
9/13/2024,275,a,0,9.384,182,9/14/2024
9/13/2024,167,b,0,2.965,119,9/14/2024
9/13/2024,123,a,1,2.469,139,9/14/2024
9/13/2024,193,c,0,8.268,29,9/14/2024
9/13/2024,103,b,1,5.784,149,9/14/2024
9/13/2024,194,d,0,4.575,63,9/14/2024
9/13/2024,50,d,0,1.466,166,9/14/2024
9/13/2024,197,d,1,4.676,170,9/14/2024
9/13/2024,193,d,1,4.798,197,9/14/2024
9/13/2024,240,a,0,3.395,199,9/14/2024
9/13/2024,257,c,1,9.803,172,9/14/2024
9/13/2024,288,d,0,5.304,71,9/14/2024
9/13/2024,198,b,1,9.774,83,9/14/2024
9/13/2024,95,d,0,1.624,59,9/14/2024
9/13/2024,289,c,0,8.218,8,9/14/2024
9/13/2024,270,b,1,9.077,152,9/14/2024
9/13/2024,153,c,0,5.909,23,9/14/2024
9/13/2024,197,d,1,3.201,21,9/14/2024
9/13/2024,146,c,0,4.627,108,9/14/2024
9/13/2024,132,b,0,6.788,158,9/14/2024
9/13/2024,54,c,0,7.599,126,9/14/2024
9/13/2024,57,a,1,2.229,109,9/14/2024
9/13/2024,27,d,1,5.809,187,9/14/2024
9/13/2024,193,d,0,2.409,20,9/14/2024
9/13/2024,74,a,0,6.162,115,9/14/2024
9/14/2024,68,e,1,8.728,198,9/15/2024
9/14/2024,244,a,1,5.424,72,9/15/2024
9/14/2024,274,d,1,7.358,97,9/15/2024
9/14/2024,142,e,0,7.279,76,9/15/2024
9/14/2024,63,e,1,5.869,110,9/15/2024
9/14/2024,46,e,0,5.692,152,9/15/2024
9/14/2024,286,e,1,8.705,22,9/15/2024
9/14/2024,208,e,1,2.553,154,9/15/2024
9/14/2024,64,b,1,3.27,195,9/15/2024
9/14/2024,123,a,0,2.089,199,9/15/2024
9/14/2024,162,d,1,2.196,25,9/15/2024
9/14/2024,93,a,1,4.194,169,9/15/2024
9/14/2024,91,e,1,1.847,90,9/15/2024
9/14/2024,110,d,0,9.075,158,9/15/2024
9/14/2024,71,d,0,3.978,35,9/15/2024
9/14/2024,263,a,0,5.963,69,9/15/2024
9/14/2024,102,c,1,5.242,172,9/15/2024
9/14/2024,276,d,0,8.355,174,9/15/2024
9/14/2024,62,a,0,6.337,192,9/15/2024
9/14/2024,177,e,0,0.615,69,9/15/2024
9/14/2024,122,c,0,4.583,99,9/15/2024
